epoch,accuracy,loss,val_accuracy,val_loss
0,0.2793200612068176,1.7970367670059204,0.3432711064815521,1.6789504289627075
1,0.4081646800041199,1.5362995862960815,0.39871829748153687,1.5585417747497559
2,0.4566860496997833,1.3942906856536865,0.3879910707473755,1.5943799018859863
3,0.4870249629020691,1.2896252870559692,0.4597380757331848,1.4500441551208496
4,0.5193493366241455,1.1922402381896973,0.4661465585231781,1.4577372074127197
5,0.5480163097381592,1.1037768125534058,0.4604346752166748,1.477095127105713
6,0.5722595453262329,1.02586829662323,0.48077458143234253,1.449815034866333
7,0.5988017916679382,0.9567694067955017,0.4972137212753296,1.4227752685546875
8,0.6218259334564209,0.8976441025733948,0.49958205223083496,1.4274823665618896
9,0.6446759104728699,0.8390544056892395,0.4924769997596741,1.5181772708892822
10,0.6646696329116821,0.7920078635215759,0.49526330828666687,1.5577491521835327
11,0.6847678422927856,0.7408909201622009,0.4921983778476715,1.657076120376587
12,0.7086976170539856,0.6918118596076965,0.4832822382450104,1.740944743156433
13,0.7293183207511902,0.645263671875,0.488158255815506,1.8198871612548828
14,0.7454108595848083,0.6076786518096924,0.4866257905960083,1.9035446643829346
15,0.7631056308746338,0.5681692361831665,0.48620784282684326,2.052021026611328
16,0.7763767242431641,0.5386627316474915,0.47283366322517395,2.2054619789123535
17,0.7935142517089844,0.4972783327102661,0.4772917330265045,2.2699475288391113
18,0.8062976598739624,0.46818628907203674,0.47715240716934204,2.463674306869507
19,0.8167125582695007,0.4410047233104706,0.47645583748817444,2.533165216445923
20,0.829879105091095,0.41100001335144043,0.4752019941806793,2.5816121101379395
21,0.8462851643562317,0.36963292956352234,0.46865421533584595,2.788137912750244
22,0.846110999584198,0.37621697783470154,0.46851491928100586,2.831212043762207
23,0.8634923100471497,0.3349214792251587,0.47645583748817444,2.9931139945983887
24,0.8794803023338318,0.29582473635673523,0.46015602350234985,3.153707981109619
25,0.8859939575195312,0.2826171815395355,0.4640568494796753,3.3756844997406006
26,0.8790971636772156,0.2928810715675354,0.4611312448978424,3.56827449798584
27,0.9022606015205383,0.23917022347450256,0.46586793661117554,3.605285406112671
28,0.9092270731925964,0.2262621372938156,0.4646140933036804,3.906893491744995
29,0.9126058220863342,0.21661162376403809,0.4640568494796753,4.039226531982422
