epoch,accuracy,loss,val_accuracy,val_loss
0,0.3675154149532318,1.621656894683838,0.4444134831428528,1.4632750749588013
1,0.46009960770606995,1.413124442100525,0.47715240716934204,1.3735122680664062
2,0.5019680261611938,1.3175816535949707,0.5015324354171753,1.31825852394104
3,0.533003568649292,1.2409707307815552,0.5094733834266663,1.2945359945297241
4,0.5618098974227905,1.1759071350097656,0.5111451745033264,1.2942016124725342
5,0.5867149829864502,1.1140644550323486,0.5195040106773376,1.27677583694458
6,0.6101570725440979,1.0542396306991577,0.5195040106773376,1.2854030132293701
7,0.6327632665634155,0.9967740178108215,0.523683488368988,1.3088833093643188
8,0.6587132811546326,0.9372713565826416,0.5218724012374878,1.3393961191177368
9,0.6832004189491272,0.8732452988624573,0.5161604881286621,1.3911104202270508
10,0.7012783288955688,0.8203269243240356,0.5165784358978271,1.4601293802261353
11,0.7233271598815918,0.7621005177497864,0.522986888885498,1.5325297117233276
12,0.7441917061805725,0.7086916565895081,0.49609920382499695,1.5743433237075806
13,0.7640809416770935,0.6558809876441956,0.5168570876121521,1.6818513870239258
14,0.7852241396903992,0.6052996516227722,0.5054332613945007,1.7280678749084473
15,0.7993660569190979,0.5595002174377441,0.5069657564163208,1.8416796922683716
16,0.8195687532424927,0.5115101337432861,0.5098913311958313,1.925918698310852
17,0.8344770073890686,0.47152820229530334,0.5089161396026611,2.081921339035034
18,0.8467379808425903,0.43657684326171875,0.5045973658561707,2.2057015895843506
19,0.8618203401565552,0.39805498719215393,0.5033435225486755,2.288966178894043
20,0.8679159879684448,0.37216585874557495,0.5041794180870056,2.453618288040161
21,0.8826152086257935,0.333439439535141,0.5008358955383301,2.623701572418213
22,0.8901389837265015,0.31210261583328247,0.49470603466033936,2.744560480117798
23,0.8981155753135681,0.2893228530883789,0.49456673860549927,2.942490577697754
24,0.906997799873352,0.2633187770843506,0.49763163924217224,3.0951175689697266
25,0.9124664664268494,0.2513975203037262,0.4930342733860016,3.2163891792297363
26,0.9201295971870422,0.23041456937789917,0.4994427561759949,3.3834359645843506
27,0.9224981665611267,0.22043684124946594,0.4928949475288391,3.454984188079834
28,0.9276185035705566,0.20657943189144135,0.4866257905960083,3.6530537605285645
29,0.9334354996681213,0.19326192140579224,0.49108386039733887,3.72701358795166
