epoch,phase,t_loss,t_acc,v_loss,v_acc
0,Fine-tuning,1.6078441297710242,0.3769549618586506,1.6031485234970302,0.38478684870437446
1,Fine-tuning,1.5107091582387404,0.41697725451948864,1.4657402617182695,0.43939816104764556
2,Fine-tuning,1.4197538491555062,0.45006792295099096,1.3801179694146226,0.47617720813597103
3,Fine-tuning,1.3672621014881476,0.4747291790031001,1.3360900332682575,0.4901086653663973
4,Fine-tuning,1.3119442973118134,0.4948622383224773,1.285878170712408,0.5078016160490387
5,Fine-tuning,1.2683699084796511,0.506252394719426,1.2576507131812233,0.5133741989412093
6,Fine-tuning,1.2418289563055342,0.5225887352398203,1.221200014246842,0.5324602953468933
7,Fine-tuning,1.1991138923603761,0.5351283569612316,1.213511465169753,0.5330175536361104
8,Fine-tuning,1.1716539876837813,0.5460656936849072,1.1890464241573093,0.5459738088604068
9,Fine-tuning,1.1335080020575277,0.5611132397506009,1.16048844656462,0.5541933686263583
10,Fine-tuning,1.1029042159673492,0.569681981260232,1.1345835986510064,0.5703538590136529
11,Fine-tuning,1.0736163510702892,0.5805496534187885,1.1151020573719392,0.5767623293396489
12,Fine-tuning,1.0459285317998166,0.5884565815597896,1.0952619329887898,0.5877681805516857
13,Fine-tuning,1.0277970065816102,0.596015186875196,1.0887491072609286,0.5863750348286431
14,Fine-tuning,0.9951820624169895,0.6067086976209551,1.0725034841025696,0.5959877403176372
15,Fine-tuning,0.9713199636547446,0.6149987808701104,1.0689251895285012,0.5968236277514628
16,Fine-tuning,0.9608827854233428,0.6174370406492737,1.0551174811273605,0.6050431875174144
17,Fine-tuning,0.9292632340388328,0.626458601832178,1.031956939041764,0.6156310950125383
18,Fine-tuning,0.9117214495479062,0.6371172802953777,1.0178970785717607,0.6184173864586235
19,Fine-tuning,0.8834609600700319,0.6459298477829252,1.0183519231605476,0.6205071050431875
20,Fine-tuning,0.8700889222337649,0.649134417778397,1.0113755858651972,0.6231540819169685
21,Fine-tuning,0.8477332302426889,0.6561357065728517,1.0159146742514829,0.6164669824463639
22,Fine-tuning,0.8440124254631288,0.6581559789613013,1.0086379598511663,0.6199498467539705
23,Fine-tuning,0.8189607940209631,0.667421366122122,0.9853362550008725,0.6348565059905266
24,Fine-tuning,0.8003049459887247,0.6741091643735414,0.9875666963984355,0.636110337141265
25,Fine-tuning,0.7807967018763877,0.6813891114284719,0.9908227963006141,0.6355530788520479
26,Fine-tuning,0.7687299218441551,0.6882859033752482,0.9860259723483968,0.6390359431596545
27,Fine-tuning,0.7457923736271305,0.6961579992336898,0.9737082236189801,0.6391752577319587
28,Fine-tuning,0.7365261361902421,0.7001288794454701,0.9717120566044919,0.641404290888827
29,Fine-tuning,0.7152975683173415,0.710369570517956,0.9753651528902856,0.6415436054611312
