epoch,accuracy,loss,val_accuracy,val_loss
0,0.3305583596229553,1.678958773612976,0.36528280377388,1.581980586051941
0,0.33327528834342957,1.671646237373352,0.3879910707473755,1.5616095066070557
1,0.3620119094848633,1.6166529655456543,0.396210640668869,1.5342652797698975
2,0.3682120442390442,1.605484962463379,0.3943995535373688,1.525600790977478
3,0.3797067105770111,1.5925779342651367,0.4088882803916931,1.5138198137283325
4,0.3819359838962555,1.5809550285339355,0.4097241461277008,1.5005004405975342
5,0.38200563192367554,1.5755220651626587,0.4168291985988617,1.4981319904327393
6,0.3864641785621643,1.570672631263733,0.41710782051086426,1.4926975965499878
7,0.38615068793296814,1.5691825151443481,0.42713847756385803,1.4841697216033936
8,0.3924205005168915,1.5608540773391724,0.4204513728618622,1.4909776449203491
9,0.39269915223121643,1.5566622018814087,0.42546671628952026,1.4740526676177979
10,0.3920721709728241,1.5529526472091675,0.42713847756385803,1.4841902256011963
11,0.3977498412132263,1.5463260412216187,0.42713847756385803,1.4767608642578125
12,0.39388343691825867,1.5521159172058105,0.4274170994758606,1.4743869304656982
13,0.4001880884170532,1.5425539016723633,0.4286709427833557,1.4722174406051636
14,0.40342751145362854,1.53751540184021,0.4288102388381958,1.4691678285598755
15,0.4013027250766754,1.534984827041626,0.4272778034210205,1.4700500965118408
16,0.40381065011024475,1.532804012298584,0.4321537911891937,1.4668803215026855
17,0.40854784846305847,1.5299235582351685,0.4315965473651886,1.4652235507965088
18,0.4026263654232025,1.532413363456726,0.43981611728668213,1.4544106721878052
19,0.411090612411499,1.5255452394485474,0.43702980875968933,1.4574462175369263
20,0.4069455564022064,1.5231959819793701,0.4321537911891937,1.4721770286560059
21,0.40757253766059875,1.5225688219070435,0.43898022174835205,1.4560189247131348
22,0.40628373622894287,1.5200209617614746,0.4399554133415222,1.453329086303711
23,0.4101153016090393,1.5203828811645508,0.43396487832069397,1.4622355699539185
24,0.40642306208610535,1.5200512409210205,0.4307606518268585,1.4639606475830078
25,0.41338953375816345,1.5136799812316895,0.4388408958911896,1.4507211446762085
26,0.40945348143577576,1.5080715417861938,0.4437169134616852,1.4510706663131714
27,0.414399653673172,1.5105031728744507,0.4399554133415222,1.4513850212097168
28,0.41408616304397583,1.5086443424224854,0.438562273979187,1.4490303993225098
29,0.41509631276130676,1.5086371898651123,0.44399553537368774,1.4452613592147827
