epoch,accuracy,loss,val_accuracy,val_loss
0,0.19816085696220398,1.8922876119613647,0.19225411117076874,1.9090464115142822
1,0.24312932789325714,1.8125897645950317,0.2688771188259125,1.771830439567566
2,0.31805357336997986,1.720992922782898,0.3612426817417145,1.6576731204986572
3,0.35650840401649475,1.6530945301055908,0.4222624599933624,1.5258277654647827
4,0.3827371299266815,1.5885934829711914,0.3877124488353729,1.607199788093567
5,0.3996307849884033,1.5478781461715698,0.41655057668685913,1.5307832956314087
6,0.41095125675201416,1.5217243432998657,0.4211479425430298,1.5421932935714722
7,0.42349088191986084,1.4863345623016357,0.46433547139167786,1.4408971071243286
8,0.43421924114227295,1.452323317527771,0.44315963983535767,1.5026285648345947
9,0.4395485818386078,1.4321242570877075,0.4561159014701843,1.4602916240692139
10,0.44923195242881775,1.4170268774032593,0.4359152913093567,1.536332368850708
11,0.4564422369003296,1.3976260423660278,0.4491501748561859,1.4751458168029785
12,0.45713886618614197,1.382879614830017,0.4563945531845093,1.4700039625167847
13,0.46724024415016174,1.354646921157837,0.4646140933036804,1.4390925168991089
14,0.4667525887489319,1.3450734615325928,0.4660072326660156,1.4284271001815796
15,0.4750078320503235,1.3291027545928955,0.464892715215683,1.430046796798706
16,0.4773067533969879,1.323044776916504,0.4597380757331848,1.4408559799194336
17,0.4799191951751709,1.307962417602539,0.4683755934238434,1.4276708364486694
18,0.4836810827255249,1.2987128496170044,0.4465031921863556,1.4897104501724243
19,0.4814518094062805,1.2914551496505737,0.4793814420700073,1.3978419303894043
20,0.48768678307533264,1.2824242115020752,0.4689328372478485,1.4355673789978027
21,0.4915183484554291,1.2678325176239014,0.4641961455345154,1.4481614828109741
22,0.4907868504524231,1.2698936462402344,0.47297295928001404,1.4258899688720703
23,0.4937824308872223,1.2527363300323486,0.4793814420700073,1.4074937105178833
24,0.5031871795654297,1.2402758598327637,0.4779883027076721,1.4299055337905884
25,0.4968128502368927,1.2409586906433105,0.47422680258750916,1.402025818824768
26,0.5007140636444092,1.2397863864898682,0.49052661657333374,1.3906288146972656
27,0.5054163932800293,1.2194268703460693,0.4761772155761719,1.4057165384292603
28,0.5081681609153748,1.2183444499969482,0.48188909888267517,1.4231587648391724
29,0.5102929472923279,1.2040964365005493,0.48119252920150757,1.4005985260009766
