loss,accuracy,val_loss,val_accuracy,lr
43164052226048.0,0.21965236961841583,3302464159744.0,0.38395094871520996,0.001
1.8355917930603027,0.266153484582901,1.6053812503814697,0.4222624599933624,0.001
359997374464.0,0.28332579135894775,1.6404590606689453,0.3711340129375458,0.001
729374064640.0,0.2781009376049042,1.5916025638580322,0.41585400700569153,0.001
1.7886219024658203,0.294715940952301,1.5742294788360596,0.43048202991485596,0.001
1.7699158191680908,0.2942979633808136,1.546460509300232,0.4196154773235321,0.001
1.7709263563156128,0.29384514689445496,1.582063913345337,0.4189189076423645,0.001
20234745856.0,0.2981991767883301,1.5402339696884155,0.43257173895835876,0.001
1.7519078254699707,0.3008115887641907,1.591267466545105,0.4088882803916931,0.001
1.7496486902236938,0.30436447262763977,1.5432143211364746,0.41780439019203186,0.001
1.7290066480636597,0.3134557008743286,1.537399411201477,0.430899977684021,0.0005
1.7285736799240112,0.3140478730201721,1.5453879833221436,0.4244914948940277,0.0005
1.734557867050171,0.31711310148239136,1.5245317220687866,0.4373084306716919,0.0005
1.7186700105667114,0.3149883449077606,1.5235416889190674,0.4392588436603546,0.0005
1.7171155214309692,0.3142220079898834,1.531279444694519,0.43187516927719116,0.0005
1.6586380004882812,0.3539656698703766,1.3783491849899292,0.4867651164531708,1e-05
1.5893257856369019,0.38444390892982483,1.3745325803756714,0.485093355178833,1e-05
1.5238631963729858,0.4110557734966278,1.2952746152877808,0.5121203660964966,1e-05
1.4707010984420776,0.4348810613155365,1.2650209665298462,0.522847592830658,1e-05
1.4452639818191528,0.44494757056236267,1.2395426034927368,0.5328782200813293,1e-05
1.4145641326904297,0.4553624391555786,1.2227041721343994,0.5314850807189941,1e-05
1.3960953950881958,0.4645233154296875,1.197576642036438,0.5494566559791565,1e-05
1.3446680307388306,0.48023268580436707,1.2092326879501343,0.5433268547058105,1e-05
1.3286707401275635,0.48587551712989807,1.1625994443893433,0.5612984299659729,1e-05
1.302730917930603,0.4930858016014099,1.1497646570205688,0.5599052906036377,1e-05
1.2927300930023193,0.4963948726654053,1.1326605081558228,0.5685427784919739,1e-05
1.283345341682434,0.5053815841674805,1.221051812171936,0.53817218542099,1e-05
1.250187873840332,0.5155177712440491,1.1253920793533325,0.5700752139091492,1e-05
1.2457016706466675,0.5178515315055847,1.114646077156067,0.5777375102043152,1e-05
1.2176711559295654,0.5231809020042419,1.1298770904541016,0.569378674030304,1e-05
1.2010250091552734,0.5308091640472412,1.0984041690826416,0.5819169878959656,1e-05
1.1809879541397095,0.5402835607528687,1.104784369468689,0.5855391621589661,1e-05
1.1764333248138428,0.5413633584976196,1.1658251285552979,0.5674282312393188,1e-05
1.1717082262039185,0.5436971187591553,1.0654398202896118,0.5982167720794678,1e-05
1.1555997133255005,0.546971321105957,1.071953296661377,0.5966843366622925,1e-05
1.1384292840957642,0.5547389388084412,1.0508095026016235,0.6060183644294739,1e-05
1.1348360776901245,0.5572468638420105,1.0583666563034058,0.5997492074966431,1e-05
1.1185123920440674,0.5632031559944153,1.0500794649124146,0.6040679812431335,1e-05
1.1080634593963623,0.5657110810279846,1.0699944496154785,0.5944553017616272,1e-05
1.0900335311889648,0.5674875378608704,1.0456888675689697,0.607690155506134,1e-05
1.0931487083435059,0.5696820020675659,1.0286484956741333,0.6163276433944702,1e-05
1.0763894319534302,0.5751854777336121,1.0317015647888184,0.6125661730766296,1e-05
1.0611646175384521,0.5791215300559998,1.0389773845672607,0.6124268770217896,1e-05
1.0576825141906738,0.5873419642448425,1.0172162055969238,0.6182780861854553,1e-05
1.0480525493621826,0.5885262489318848,1.0140994787216187,0.6191139817237854,1e-05
